ticker,year_from,year_to,word_count_change_pct,text_similarity,text_change_score,excess_volatility
ACI,2019,2020,32.32734260201198,0.9328748400846881,0.06712515991531187,0.11265433828734137
ACI,2020,2021,37.60143503886564,0.7425393097424673,0.2574606902575327,0.18281005975377107
ACI,2021,2022,-4.090880874045564,0.969345737007346,0.030654262992653947,0.0762076508048285
ACI,2022,2023,-20.0,0.8710061245711609,0.1289938754288391,-0.015475279167866243
AEO,2019,2020,7.981410385936553,0.9637021869008217,0.036297813099178344,0.6973666872870794
AEO,2020,2021,26.459580838323355,0.9412833846997257,0.05871661530027428,0.3529653770860379
AEO,2021,2022,53.71411660254514,0.9405732589538646,0.059426741046135434,0.37728513069440267
AEO,2022,2023,-2.849441663457836,0.9773092172711075,0.022690782728892467,0.39045793786051564
ANF,2019,2020,19.23859343214182,0.8870662350788711,0.11293376492112894,0.6588491803768093
ANF,2020,2021,37.86253960516695,0.9682941847201569,0.031705815279843064,0.3987954472630283
ANF,2021,2022,-6.488111022717227,0.980355410516199,0.01964458948380099,0.5823873770826663
ANF,2022,2023,-10.21835712260138,0.969817430031331,0.03018256996866897,0.653165382862056
AZO,2019,2020,17.707082833133253,0.9698409228857581,0.030159077114241928,0.07933111048230504
AZO,2020,2021,3.790583035866055,0.9773925588982912,0.02260744110170876,0.1235398499584302
AZO,2021,2022,1.752374713396659,0.9343185420041239,0.0656814579958761,-0.004580462950432684
AZO,2022,2023,6.116207951070336,0.9872109497645902,0.012789050235409771,0.075794849912419
BBY,2019,2020,12.142542894852618,0.9784455422082827,0.021554457791717274,0.2945689202662579
BBY,2020,2021,16.529357918137833,0.9733629144213783,0.026637085578621655,0.1754226017039262
BBY,2021,2022,8.102345415778252,0.9815499320823772,0.018450067917622825,0.20308390386031644
BBY,2022,2023,-7.671545728225889,0.9784171247410117,0.021582875258988277,0.14481876198617374
BJ,2019,2020,-8.994405393774208,0.9836574196990545,0.016342580300945486,0.18860897251578135
BJ,2020,2021,5.367276166456494,0.9817543840206748,0.01824561597932517,0.23373640374730398
BJ,2021,2022,-3.926995287605655,0.9830931097824718,0.016906890217528225,0.2835314249090671
BJ,2022,2023,1.105574587355964,0.9795167628229786,0.020483237177021385,0.09700802468169997
BURL,2019,2020,3.6415094339622645,0.9926675884545451,0.007332411545454942,0.505776602206117
BURL,2020,2021,11.696704897141817,0.9580128663483682,0.04198713365163176,0.14833588877825082
BURL,2021,2022,-5.696357265096569,0.981930806874055,0.018069193125945016,0.3561603135386379
