ticker,filing_year,risk_text_length,realized_volatility,excess_volatility
ACI,2019,58614,,
ACI,2020,76860,0.3121156318585878,0.11265433828734137
ACI,2021,104545,0.29912268431487943,0.18281005975377107
ACI,2022,100555,0.3620861924032242,0.0762076508048285
ACI,2023,81580,0.10091698143746555,-0.015475279167866243
AEO,2019,33136,0.3889012212888023,0.2649797353675473
AEO,2020,35812,1.2301490729111375,0.6973666872870794
AEO,2021,44972,0.4726501253494583,0.3529653770860379
AEO,2022,69630,0.6384075588018526,0.37728513069440267
AEO,2023,67672,0.5268112411521851,0.39045793786051564
ANF,2019,46644,0.6453302218619181,0.529617193178107
ANF,2020,54909,0.9810261891329436,0.6588491803768093
ANF,2021,75799,0.5139723903208818,0.3987954472630283
ANF,2022,71203,0.8637183663032846,0.5823873770826663
ANF,2023,64124,0.774909829215982,0.653165382862056
AZO,2019,33592,0.19187044350967142,0.1241729474905066
AZO,2020,39160,0.23199366937920662,0.07933111048230504
AZO,2021,40605,0.2729488284976479,0.1235398499584302
AZO,2022,41518,0.21721125373361924,-0.004580462950432684
AZO,2023,44035,0.19030055188844167,0.075794849912419
BBBY,2019,19029,,
BBBY,2020,29134,,
BBBY,2021,35985,,
BBBY,2022,50585,,
BBBY,2023,27534,,
BBY,2019,45819,0.2613348762788701,0.14464407609736157
BBY,2020,51335,0.6948905499053882,0.2945689202662579
BBY,2021,59699,0.2900448841937896,0.1754226017039262
BBY,2022,64522,0.47498537945820357,0.20308390386031644
BBY,2023,60038,0.2712935880955144,0.14481876198617374
BJ,2019,90289,0.27884898558625276,0.16227525389823827
BJ,2020,82134,0.6066449080147488,0.18860897251578135
BJ,2021,87162,0.34835868623716737,0.23373640374730398
BJ,2022,83375,0.5462709908396287,0.2835314249090671
BJ,2023,84424,0.22517988025560104,0.09700802468169997
BURL,2019,69776,0.36341237959030465,0.23958084939054056
BURL,2020,72295,1.005713344799054,0.505776602206117
BURL,2021,80827,0.267592324096116,0.14833588877825082
BURL,2022,77025,0.614206629630147,0.3561603135386379
BURL,2023,79689,0.3548346903426999,0.21848138705103035
CHWY,2020,129686,0.6986745750788649,0.38895863332993197
CHWY,2021,138303,0.466352669790573,0.3514343436744133
CHWY,2022,148056,1.120651769655967,0.83991398302438
CHWY,2023,147233,0.6331874048938522,0.5133609372129552
COST,2019,35718,0.10464843865112299,0.03583775979497142
COST,2020,42460,0.1995178698891099,0.04172026836954895
COST,2021,41834,0.23752509911491584,0.09904173536854813
COST,2022,40228,0.29177879737602985,0.04583160487162524
COST,2023,39969,0.20793660900739486,0.08714994753344683
CVNA,2019,139646,0.5961177532890201,0.4844293022100809
CVNA,2020,148782,1.8386020934673446,1.202648240090545
CVNA,2021,157610,0.6614666497542474,0.5167526892191238
CVNA,2022,171727,1.387550244733673,1.1217027580246919
CVNA,2023,184611,1.3480971508929638,1.2019945628439421
CVS,2019,176413,0.27396957465203436,0.15959084854314637
CVS,2020,127358,0.6461339136864822,0.009665336253826706
CVS,2021,155381,0.21605370863767395,0.07359553944002473
CVS,2022,154888,0.26639553932382015,0.016551697220185818
CVS,2023,155914,0.21038277768213626,0.061039369352948764
DG,2019,37855,0.20767074644550343,0.09259932991406035
DG,2020,40787,0.2893243154846096,-0.12871162001435787
DG,2021,50112,0.19949756147731393,0.08487527898745052
DG,2022,55935,0.4798881561365286,0.20798668053864144
